iter	Passed	Remaining
0	1	99
1	1	85
2	2	77
3	2	71
4	3	69
5	4	67
6	5	66
7	5	65
8	6	64
9	7	63
10	7	62
11	8	61
12	9	60
13	9	59
14	10	58
15	11	57
16	11	57
17	12	56
18	12	55
19	13	54
20	14	53
21	14	53
22	15	52
23	16	51
24	16	50
25	17	50
26	18	49
27	19	48
28	19	48
29	20	47
30	21	46
31	21	46
32	22	45
33	23	44
34	23	44
35	24	43
36	25	42
37	25	42
38	26	41
39	27	40
40	27	40
41	28	38
42	29	38
43	29	37
44	30	37
45	31	36
46	31	35
47	32	35
48	33	34
49	34	34
50	34	33
51	35	32
52	36	32
53	36	31
54	37	30
55	38	29
56	38	29
57	39	28
58	40	27
59	40	27
60	41	26
61	42	26
62	43	25
63	43	24
64	44	24
65	45	23
66	46	22
67	46	22
68	47	21
69	48	20
70	49	20
71	49	19
72	50	18
73	51	18
74	52	17
75	52	16
76	53	15
77	54	15
78	54	14
79	55	13
80	56	13
81	57	12
82	58	11
83	59	11
84	59	10
85	60	9
86	61	9
87	62	8
88	62	7
89	63	7
90	64	6
91	65	5
92	65	4
93	66	4
94	67	3
95	67	2
96	68	2
97	69	1
98	70	0
99	70	0
